!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
┌	∎
┤	⿰一丨
╪	⿻丨二
△	∎
◇	∎
⺀	⿱丶丶
⺄	∎
⺆	∎
⺈	⿰丿乛
⺊	⿰丨一
⺌	⿲丶丨丿
⺜	⿵ㄇ二
⺝	{月}⿵冂二
⺧	⿻𠂉丄
⺪	⿱乛止t
⺵	⿵ㄇ〢
⺻	⿱肀一
⺼	⿵⺆冫
⿰	∎
⿱	∎
⿲	∎
⿳	∎
⿴	∎
⿵	∎
⿶	∎
⿷	∎
⿸	∎
⿹	∎
⿺	∎
⿻	∎
〇	∎
〢	⿰丨丨
〣	⿰丨〢
コ	∎
ユ	⿱𠃍一
ㄇ	∎
㇀	∎
㇁	∎
㇂	∎
㇃	∎
㇄	∎
㇅	∎
㇇	∎
㇈	∎
㇉	∎
㇊	∎
㇋	∎
㇌	∎
㇍	∎
㇎	∎
㇓	∎
㇘	∎
㇝	∎
㇢	∎
㐀	⿱卝一
㐁	⿻𠆣d囗
㐂	⿱七.⿰七.七.
㐃	⿱△丨
㐄	⿻丨匸.
㐅	⿻丿丶
㐆	⿸𠂆⿱彐𠃌
㐇	⿱九.乙
㐈	⿱入H乙
㐉	⿱丁乙
㐊	⿱士.乙
㐋	⿱十𠀂
㐌.	⿱𠂉也.
㐌T	⿱𠂉也H
㐍	⿱爫J乙
㐎	⿱文K乙
㐏	⿱五乙
㐑	⿱冬.乙
㐒	⿱召乙
㐓	⿱可乙
㐔	⿳亠J口乙
㐕	⿱由乙
㐖	⿰吉乚
㐗	⿱老.乙
㐘	⿱米.乙
㐙	⿱豆.乙
㐚	⿱吾乙
㐛	⿱佑乙
㐝	⿱拘乙
㐞	⿱其n乙
㐟	⿱非H乙
㐢	⿱浮K乙
㐤	⿺九.真.
㐥	⿱鋤乙
㐧	⿻⿰⿱丶丿亅乛
㐨	⿰予予
㐩	⿰井井
㐪	⿱亠J⿻人.凵
㐫	⿱亠.凶
㐬T	⿱𠫓d𫶧w
㐭.	⿱亠.回
㐭J	⿱亠J回
㐮.	⿳六.𠀎𧘇.
㐮J	⿳六J𠀎𧘇.
㐯.	⿳亠.吕香.
㐯J	⿳亠J吕香.
㐰	⿰亻口
㐱.	⿱人.彡
㐱d	⿱人d彡
㐲	⿰亻大.
㐳	⿰亻兀.
㐴	⿰亻夕
㐵	⿰亻于
㐶	⿰亻巳.
㐷	⿰亻马.
㐸	⿰亻欠.
㐹	⿰亻气
㐺	⿰亻𠆧
㐻.	⿰亻内
㐼	⿰亻升
㐽	⿰亻风
㐾	⿰亻元.
㐿	⿰亻手
㑀	⿰亻太.
㑁	⿰亻出
㑂	⿰亻丙
㑃.	⿰亻幼.
㑃K	⿰亻幼J
㑄	⿰亻母
㑅	⿰亻⿱𠂉上
㑆	⿰亻兄.
㑈	⿰亻东
㑉	⿰亻夙
㑊K	⿰亻亦H
㑊T	⿰亻亦J
㑋	⿰亻曲
㑍.	⿰亻耒.
㑍T	⿰亻耒H
㑏.	⿰亻守.
㑏V	⿰亻守J
㑐	⿰亻尗
㑑	⿰亻自
㑒.	⿱人.⿻𠆣.口
㑒dd	⿱人d⿻𠆣d口
㑔	⿰亻页
㑕	⿰亻岁
㑖	⿰亻仲
㑗.	⿰亻身.
㑗T	⿰亻身H
㑘	⿰亻戒
㑙T	⿰亻耴.
㑜	⿰亻折
